Mode,Entries,Exits
LU,"23,084","22,854"
LU,"1,666","1,664"
LU,"8,346","8,671"
LU,"2,101","2,002"
LU,"8,846","8,702"
LU,"11,592","11,040"
LU,"1,606","1,759"
LU,"5,591","5,365"
LU,"1,832","1,833"
LU,"5,618","5,166"
LU,"26,801","27,831"
LU,"11,903","11,917"
LU,"28,763","28,982"
LU,"8,480","8,325"
LU,"7,071","6,917"
LU,"17,068","16,458"
LU,"2,993","2,966"
LU,"13,593","13,222"
LU,"6,644","7,116"
LU,"6,943","6,815"
LU,"4,833","8,155"
LO,"2,452","2,453"
LO,"1,832","1,637"
LO,"1,453","1,280"
LO,"2,453","2,719"
LO,"5,922","5,438"
LO,"3,972","3,849"
LO,"2,460","2,457"
LO,"4,255","3,665"
LO,"4,333","3,955"
LO,652,"1,166"
LO,"2,862","2,920"
LO,"2,291","2,270"
LO,"5,960","6,172"
LO,"3,898","3,594"
LO,"1,767","2,064"
LO,"1,180","1,223"
LO,"3,701","3,877"
LO,"2,750","2,759"
LO,"20,347","18,121"
LO,"3,677","3,303"
LO,"1,710","1,730"
LO,"2,404","2,410"
LO,"6,839","7,055"
LO,"7,098","7,039"
LO,"11,817","12,074"
LO,"6,625","6,778"
LO,691,453
LO,"3,662","3,513"
LO,"4,221","4,194"
LO,"3,453","3,501"
LO,"4,256","4,362"
LO,"4,081","3,793"
LO,"7,261","7,399"
LO,"7,118","6,659"
LO,"4,939","5,320"
LO,"4,272","4,230"
LO,"4,746","4,699"
LO,"2,838","2,814"
LO,946,961
LO,828,740
LO,"4,249","4,087"
LO,"6,487","6,270"
LO,"3,651","3,641"
LO,"4,646","4,755"
LO,"5,730","5,468"
LO,"4,994","5,110"
LO,"3,738","3,683"
LO,"3,756","3,724"
LO,"1,064","1,076"
LO,"2,670","2,588"
LO,"1,814","1,768"
LO,"15,775","7,865"
LO,"2,253","2,545"
LO,"3,490","3,518"
LO,"6,671","6,641"
LO,"2,828","2,840"
LO,"4,891","6,044"
LO,"1,280","1,318"
LO,"3,304","3,229"
LO,"3,203","2,842"
LO,"2,164","2,029"
LO,"5,310","5,568"
LO,"9,484","9,515"
LO,"8,302","8,777"
LO,"4,763","4,654"
LO,"1,439","1,333"
LO,838,806
LO,"2,480","2,659"
LO,"1,631","1,756"
LO,"2,134","2,178"
LO,"1,843","1,647"
LO,"3,441","3,187"
LO,"6,839","6,386"
LO,"3,550","4,365"
LO,"1,151","1,069"
LO,"1,655","1,546"
LO,"3,005","2,986"
LO,"1,837","1,898"
LO,"1,246","1,261"
LO,"2,457","2,340"
LO,"2,913","2,886"
LO,"1,901","1,791"
LO,"2,497",719
LO,"5,416","4,977"
LO,"6,815","6,745"
LO,"2,956","2,834"
LO,"3,188","3,108"
LO,"1,748","1,539"
DLR,"2,006","2,015"
DLR,"2,741","2,767"
DLR,"3,452","3,542"
DLR,792,841
DLR,"2,059","2,168"
DLR,"5,394","3,854"
DLR,"17,122","18,656"
DLR,"5,505","5,482"
DLR,"7,484","5,151"
DLR,"10,595","11,505"
DLR,"4,669","4,905"
DLR,"4,173","4,411"
DLR,"3,613","3,602"
DLR,"6,860","7,626"
DLR,"2,250","2,093"
DLR,"2,943","3,053"
DLR,"7,372","7,223"
DLR,"8,306","9,717"
DLR,"3,640","3,360"
DLR,"2,447","2,534"
DLR,"6,011","5,821"
DLR,"11,381","11,719"
DLR,"10,630","14,562"
DLR,"5,629","6,278"
DLR,"2,598","2,457"
DLR,"4,113","4,237"
DLR,"2,064","2,715"
DLR,"2,258","2,449"
DLR,"3,827","3,888"
DLR,"2,026","2,235"
DLR,"4,742","3,752"
DLR,"9,564","9,608"
DLR,"7,191","7,293"
DLR,"2,660","2,896"
DLR,"2,026","2,186"
DLR,"6,638","5,960"
DLR,"4,274","4,715"
DLR,"4,081","3,814"
DLR,"3,650","3,514"
DLR,"6,304","6,383"
DLR,"10,691","10,692"
EZL,"20,726","25,474"
EZL,"4,104","3,984"
EZL,"4,239","4,045"
EZL,"3,205","3,030"
EZL,"21,963","22,538"
EZL,"7,204","7,015"
EZL,"14,451","14,536"
EZL,"8,548","8,281"
EZL,"4,317","4,054"
EZL,"7,086","6,873"
EZL,"3,212","2,689"
EZL,"5,257","5,051"
EZL,"12,704","13,612"
EZL,"4,826","4,422"
EZL,"3,205","2,523"
EZL,"12,149","12,247"
EZL,"14,454","14,943"
EZL,606,553
EZL,"2,377","2,492"
EZL,"7,174","8,373"
EZL,"5,949","5,899"
EZL,"5,845","5,509"
EZL,"4,630","6,279"
EZL,"16,017","19,250"
EZL,"6,300","5,764"
EZL,"4,821","5,678"
EZL,"8,001","7,005"
EZL,"11,418","11,944"
EZL,"1,040",983
EZL,"3,731","4,004"
EZL,"5,622","5,696"
EZL,"6,585","6,303"
EZL,"18,036","17,664"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
